"Part";"Quantity";"Value";"Device";"Package";"Description";"Place";"Provided";"Distributor";"Ordernumber";"Weblink";"Remarks"
"C1";"1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"Yes";"No";"R2";"";"";""
"C2";"1";"10uF";"10UF-TANT";"EIA3216";"10uF Tantalum SMT";"Yes";"No";"Mouser";"647-F931D106MAA";"https://www.mouser.ch/ProductDetail/AVX/F931D106MAA?qs=%2fha2pyFadugBNWncAbXQXxEHQJISJiFBJ7QXp8FDj7ScO5vdUpgUZA%3d%3d";""
"C3";"1";"100uF";"100UF-63V-20%(ELECT)";"NIC_10X10.5_CAP";"CAP-08362";"Yes";"No";"Mouser";"598-107SML063M";"https://www.mouser.ch/ProductDetail/Illinois-Capacitor-CDE/107SML063M?qs=%2fha2pyFaduhe2UJZSX2WvbxZYvhC4L3TD5ZVG2tL5rqP%252bovMAc8Hgw%3d%3d";""
"C4, C5";"2";"0.22uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"Yes";"No";"R2";"";"";""
"C6";"1";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"Yes";"No";"R2";"";"";""
"C7";"1";"10uF";"10UF-0603-6.3V-20%";"603";"10.0µF ceramic capacitors";"Yes";"No";"R2";"";"";""
"C8";"1";"47uF";"47UF-TANT";"EIA3528";"47uF Tantalum SMT";"Yes";"No";"Mouser";"647-F931A476KBA";"https://www.mouser.ch/ProductDetail/AVX/F931A476KBA?qs=sGAEpiMZZMuEN2agSAc2puC4lhRhLeolV5NgMLhJRWs%3d";""
"R1, R2, R7, R8, R9, R10";"6";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"Yes";"No";"R2";"";"";""
"R6, R11, R12";"3";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"Yes";"No";"R2";"";"";""
"Q1, Q2";"2";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"Yes";"No";"Mouser";"863-SMMBT2222ALT3G";"https://www.mouser.ch/ProductDetail/863-SMMBT2222ALT3G?r=863-SMMBT2222ALT3G";""
"D1";"1";"BAV99";"BAV99";"SOT23-3@1";"Two small signal silicon diodes connected anode to cathode.";"Yes";"No";"Mouser";"512-BAV99";"https://www.mouser.ch/ProductDetail/ON-Semiconductor-Fairchild/BAV99?qs=sGAEpiMZZMudZehw8RjeZe6BnmRwGdH1";""
"U1";"1";"L6470 ";"L6470";"HTSSOP28";"3A RMS/7A peak bipolar stepper motor driver with SPI control";"Yes";"No";"Mouser";"511-L6470H";"https://www.mouser.ch/ProductDetail/STMicroelectronics/L6470H?qs=sGAEpiMZZMuP%2fQeRSdvksPGSQkvtk%2fGb";""
"U2";"1";"CP2104";"CP2104";"QFN24_4MM_SMSC";"CP2104 - USB to UART Bridge";"Yes";"No";"Mouser";"634-CP2104-F03-GMR";"https://www.mouser.ch/ProductDetail/Silicon-Labs/CP2104-F03-GMR?qs=sGAEpiMZZMtXqW1IUNX6MBk8lKhQ2c4Y";""
